1603791085.7271314,0.0375,0.3
1603791086.2294788,0.3,0.3
1603791086.7310293,0.3,0.18
1603791087.2330756,0.3,0.18
1603791087.7347617,0.3,0.3
1603791088.2367783,0.3,0.3
1603791088.7390208,0.3,0.3
1603791089.2410135,0.3,0.18
1603791089.7427237,0.18,0.3
1603791090.2448397,0.3,0.3
1603791090.7468407,0.3,0.18
1603791091.2492292,0.3,0.3
1603791091.7514145,0.18,0.3
1603791092.253591,0.3,0.3
1603791092.7580311,0.3,0.3
1603791093.259814,0.3,0.3
1603791093.7615457,0.3,0.18
1603791094.263193,0.3,0.18
1603791094.7647288,0.3,0.18
1603791095.2662935,0.3,0.144
1603791095.7678292,0.3,0.18
1603791096.269436,0.3,0.0375
1603791096.771046,0.3,0.18
1603791097.2726738,0.3,0.0375
1603791097.7744484,0.3,0.18
1603791098.2761285,0.3,0.18
1603791098.7778893,0.3,0.144
1603791099.280433,0.3,0.0375
1603791099.7828276,0.3,0.0375
1603791100.2853565,0.3,0.18
1603791100.787522,0.3,0.18
1603791101.2892358,0.3,0.18
1603791101.790836,0.3,0.18
1603791102.2925792,0.3,0.18
1603791102.794216,0.3,0.3
1603791103.2957826,0.3,0.18
1603791103.797328,0.3,0.3
1603791104.2988842,0.3,0.18
1603791104.800452,0.3,0.3
1603791105.3021548,0.3,0.3
1603791105.8037276,0.3,0.18
1603791106.3058774,0.3,0.3
1603791106.8078797,0.3,0.3
1603791107.3094683,0.18,0.3
1603791107.8111124,0.3,0.18
1603791108.3127723,0.18,0.3
1603791108.8146381,0.3,0.18
1603791109.3164248,0.3,0.18
1603791109.817839,0.3,0.3
1603791110.3194315,0.3,0.0375
1603791110.8214698,0.3,0.144
1603791111.3230462,0.3,0.144
1603791111.8246207,0.3,0.18
1603791112.3261974,0.3,0.18
1603791112.827787,0.3,0.18
1603791113.329346,0.3,0.0375
1603791113.830948,0.3,0.144
1603791114.3326967,0.3,0.0375
1603791114.8342695,0.3,0.0375
1603791115.3358288,0.3,0.18
1603791115.8378532,0.3,0.0375
1603791116.3399992,0.3,0.18
1603791116.8421128,0.3,0.18
1603791117.3442616,0.3,0.3
1603791117.846489,0.3,0.18
1603791118.3492522,0.3,0.18
1603791118.8519857,0.18,0.3
1603791119.35349,0.3,0.18
1603791119.8552735,0.3,0.3
1603791120.356779,0.3,0.18
1603791120.8577998,0.18,0.3
1603791121.3593373,0.18,0.3
1603791121.8609192,0.3,0.18
1603791122.3624942,0.3,0.18
1603791122.8640919,0.3,0.3
1603791123.365902,0.3,0.3
1603791123.8677814,0.3,0.3
